biomodels_luid	name	format	format_version	publication_title	publication_year
BIOMD0000000582	DallePezze2014 -  Cellular senescene-induced mitochondrial dysfunction	SBML	L2V4	Dynamic modelling of pathways to cellular senescence reveals strategies for targeted interventions.	2014.0
BIOMD0000000583	Leber2015 - Mucosal immunity and gut microbiome interaction during C. difficile infection	SBML	L2V4	Systems Modeling of Interactions between Mucosal Immunity and the Gut Microbiome during Clostridium difficile Infection.	2015.0
BIOMD0000000584	Mandlik2015 - Tristable genetic circuit of Leishmania	SBML	L2V1	Regulatory dynamics of network architecture and function in tristable genetic circuit of Leishmania: a mathematical biology approach.	2015.0
BIOMD0000000585	Rateitschak2012 - Interferon-gamma (IFNγ) induced STAT1 signalling (PC_IFNg100)	SBML	L2V3	Parameter identifiability and sensitivity analysis predict targets for enhancement of STAT1 activity in pancreatic cancer and stellate cells.	2012.0
BIOMD0000000586	Karapetyan2016 - Genetic oscillatory network - Activator Titration Circuit (ATC)	SBML	L2V4	Role of DNA binding sites and slow unbinding kinetics in titration-based oscillators.	2015.0
BIOMD0000000587	Karapetyan2016 - Genetic oscillatory network - Repressor Titration Circuit (RTC)	SBML	L2V4	Role of DNA binding sites and slow unbinding kinetics in titration-based oscillators.	2015.0
BIOMD0000000588	Benson2013 - Identification of key drug targets in nerve growth factor pathway	SBML	L2V4	Systems pharmacology of the nerve growth factor pathway: use of a systems biology model for the identification of key drug targets using sensitivity analysis and the integration of physiology and pharmacology.	2013.0
BIOMD0000000589	Valero2016 - Ascorbate-Glutathione cycle in chloroplasts under light/dark conditions	SBML	L2V4	Modeling the ascorbate-glutathione cycle in chloroplasts under light/dark conditions.	2016.0
BIOMD0000000590	Hermansen2015 - denovo biosynthesis of pyrimidines in yeast	SBML	L2V4	Characterizing selective pressures on the pathway for de novo biosynthesis of pyrimidines in yeast.	2015.0
BIOMD0000000591	Boehm2014 - isoform-specific dimerization of pSTAT5A and pSTAT5B	SBML	L2V4	Identification of isoform-specific dynamics in phosphorylation-dependent STAT5 dimerization by quantitative mass spectrometry and mathematical modeling.	2014.0
BIOMD0000000592	Martinez-Sanchez2015 - T CD4+ lymphocyte transcriptional regulatory network	SBML	L3V1	A Minimal Regulatory Network of Extrinsic and Intrinsic Factors Recovers Observed Patterns of CD4+ T Cell Differentiation and Plasticity.	2015.0
BIOMD0000000593	Martinez-Sanchez2015 - T CD4+ lymphocyte transcriptional-signaling regulatory network	SBML	L3V1	A Minimal Regulatory Network of Extrinsic and Intrinsic Factors Recovers Observed Patterns of CD4+ T Cell Differentiation and Plasticity.	2015.0
BIOMD0000000594	Capuani2015 - Binding of Cbl and Gbr2 to EGFR (Multisite Phosphorylation Model - MPM)	SBML	L2V4	Quantitative analysis reveals how EGFR activation and downregulation are coupled in normal but not in cancer cells.	2015.0
BIOMD0000000595	Capuani2015 - Binding of Cbl and Grb2 to EGFR (Early Activation Model - EAM)	SBML	L2V4	Quantitative analysis reveals how EGFR activation and downregulation are coupled in normal but not in cancer cells.	2015.0
BIOMD0000000596	Philipson2015 - Innate immune response modulated by NLRX1	SBML	L2V4	Modeling the Regulatory Mechanisms by Which NLRX1 Modulates Innate Immune Responses to Helicobacter pylori Infection.	2015.0
BIOMD0000000597	Flis2015 - Plant clock gene circuit (P2011.1.2 PLM_71 ver 1)	SBML	L2V4	Defining the robust behaviour of the plant clock gene circuit with absolute RNA timeseries and open infrastructure.	2015.0
BIOMD0000000598	Flis2015 - Plant clock gene circuit (P2011.2.1 PLM_71 ver 2)	SBML	L2V4	Defining the robust behaviour of the plant clock gene circuit with absolute RNA timeseries and open infrastructure.	2015.0
BIOMD0000000599	Coggins2014 - CXCL12 dependent recruitment of beta arrestin	SBML	L2V4	CXCR7 controls competition for recruitment of β-arrestin 2 in cells expressing both CXCR4 and CXCR7.	2014.0
BIOMD0000000600	Cellière2011 - Plasticity of TGF-β Signalling	SBML	L2V4	Plasticity of TGF-β signaling.	2011.0
BIOMD0000000601	Rosas2015 - Caffeine-induced luminal SR calcium changes	SBML	L2V4	Kinetics on Demand Is a Simple Mathematical Solution that Fits Recorded Caffeine-Induced Luminal SR Ca2+ Changes in Smooth Muscle Cells.	2015.0
BIOMD0000000602	Stavrum2013 - Tryptophan Metabolism in Liver	SBML	L2V4	Model of tryptophan metabolism, readily scalable using tissue-specific gene expression data.	2013.0
BIOMD0000000603	PetelenzKuehn_osmoadaptation_WT	SBML	L2V4	Quantitative analysis of glycerol accumulation, glycolysis and growth under hyper osmotic stress.	2013.0
BIOMD0000000604	PetelenzKuehn_osmoadaptation_pfk2627D	SBML	L2V4	Quantitative analysis of glycerol accumulation, glycolysis and growth under hyper osmotic stress.	2013.0
BIOMD0000000605	PetelenzKuehn_osmoadaptation_HOG1att	SBML	L2V4	Quantitative analysis of glycerol accumulation, glycolysis and growth under hyper osmotic stress.	2013.0
BIOMD0000000606	PetelenzKuehn_osmoadaptation_hog1D	SBML	L2V4	Quantitative analysis of glycerol accumulation, glycolysis and growth under hyper osmotic stress.	2013.0
BIOMD0000000607	PetelenzKuehn_osmoadaptation_fps1D1	SBML	L2V4	Quantitative analysis of glycerol accumulation, glycolysis and growth under hyper osmotic stress.	2013.0
BIOMD0000000608	Palsson2013 - Fully-integrated immune response model (FIRM)	SBML	L3V1	The development of a fully-integrated immune response model (FIRM) simulator of the immune response through integration of multiple subset models.	2013.0
BIOMD0000000609	Reddyhoff2015 - Acetaminophen metabolism and toxicity	SBML	L2V4	Timescale analysis of a mathematical model of acetaminophen metabolism and toxicity.	2015.0
BIOMD0000000610	PetelenzKuehn_osmoadaptation_gpd1D	SBML	L2V4	Quantitative analysis of glycerol accumulation, glycolysis and growth under hyper osmotic stress.	2013.0
BIOMD0000000611	Nayak2015 - Blood Coagulation Network - Predicting the Effects of Various Therapies on Biomarkers	SBML	L2V4	Using a Systems Pharmacology Model of the Blood Coagulation Network to Predict the Effects of Various Therapies on Biomarkers.	2015.0
BIOMD0000000612	Proctor2016 - Circadian rhythm of PTH and the dynamics of signaling molecules on bone remodeling	SBML	L2V4	Simulated Interventions to Ameliorate Age-Related Bone Loss Indicate the Importance of Timing.	2016.0
BIOMD0000000613	Peterson2010 - Integrated calcium homeostasis and bone remodelling	SBML	L3V1	A physiologically based mathematical model of integrated calcium homeostasis and bone remodeling.	2010.0
BIOMD0000000614	Kamihira2000 - calcitonin fibrillation kinetics	SBML	L2V4	Conformational transitions and fibrillation mechanism of human calcitonin as studied by high-resolution solid-state 13C NMR.	2000.0
BIOMD0000000615	Kuznetsov2016(II) - α-syn aggregation kinetics in Parkinson's Disease	SBML	L3V1	What can trigger the onset of Parkinson's disease - A modeling study based on a compartmental model of α-synuclein transport and aggregation in neurons.	2016.0
BIOMD0000000616	Dunster2014 - WBC Interactions (Model1)	SBML	L3V1	The resolution of inflammation: a mathematical model of neutrophil and macrophage interactions.	2014.0
BIOMD0000000617	Walsh2014 - Inhibition kinetics of DAPT on APP Cleavage	SBML	L3V1	Are improper kinetic models hampering drug development?	2014.0
BIOMD0000000618	Krohn2011 - Cerebral amyloid-β proteostasis regulated by membrane transport protein ABCC1	SBML	L2V4	Cerebral amyloid-β proteostasis is regulated by the membrane transport protein ABCC1 in mice.	2011.0
BIOMD0000000619	Sluka2016  - Acetaminophen PBPK	SBML	L2V4	A Liver-Centric Multiscale Modeling Framework for Xenobiotics.	2016.0
BIOMD0000000620	Palmer2014 - Effect of IL-1β-Blocking therapies in T2DM - Disease Condition	SBML	L2V4	Effects of IL-1β-Blocking Therapies in Type 2 Diabetes Mellitus: A Quantitative Systems Pharmacology Modeling Approach to Explore Underlying Mechanisms.	2014.0
BIOMD0000000621	Palmer2014 - Effect of IL-1β-Blocking therapies in T2DM - Healthy Condition	SBML	L2V4	Effects of IL-1β-Blocking Therapies in Type 2 Diabetes Mellitus: A Quantitative Systems Pharmacology Modeling Approach to Explore Underlying Mechanisms.	2014.0
BIOMD0000000622	NguyenLK2011 - Ubiquitination dynamics in Ring1B/Bmi1 system	SBML	L2V4	Switches, excitable responses and oscillations in the Ring1B/Bmi1 ubiquitination system.	2011.0
BIOMD0000000623	Orton2009 - Modelling cancerous mutations in the EGFR/ERK pathway - EGF Model	SBML	L2V4	Computational modelling of cancerous mutations in the EGFR/ERK signalling pathway.	2009.0
BIOMD0000000624	Sluka2016 - Acetaminophen metabolism	SBML	L2V4	A Liver-Centric Multiscale Modeling Framework for Xenobiotics.	2016.0
BIOMD0000000625	Leber2016 - Expanded model of Tfh-Tfr differentiation - Helicobacter pylori infection	SBML	L2V4	Bistability analyses of CD4+ T follicular helper and regulatory cells during Helicobacter pylori infection.	2016.0
BIOMD0000000626	Ray2013 - Meiotic initiation in S. cerevisiae	SBML	L2V4	Dynamic modeling of yeast meiotic initiation.	2013.0
BIOMD0000000627	Winter2017 - Brain Energy Metabolism with PPP	SBML	L2V3	Mathematical analysis of the influence of brain metabolism on the BOLD signal in Alzheimer's disease.	2018.0
BIOMD0000000628	Li2012 Calcium mediated synaptic plasticity	SBML	L2V4	Calcium input frequency, duration and amplitude differentially modulate the relative activation of calcineurin and CaMKII.	2012.0
BIOMD0000000629	Haffez2017 - RAR interaction with synthetic analogues	SBML	L2V4	The molecular basis of the interactions between synthetic retinoic acid analogues and the retinoic acid receptors	2017.0
BIOMD0000000630	Venkatraman2011 - PLS-UPA behaviour in the presence of substrate competition_1_1_1_1	SBML	L2V4	Steady states and dynamics of urokinase-mediated plasmin activation in silico and in vitro.	2011.0
BIOMD0000000631	DeCaluwe2016 - Circadian Clock	SBML	L2V3	A Compact Model for the Complex Plant Circadian Clock.	2016.0
BIOMD0000000632	Kollarovic2016 - Cell fate decision at G1-S transition	SBML	L2V4	To senesce or not to senesce: how primary human fibroblasts decide their cell fate after DNA damage.	2016.0
BIOMD0000000633	Bulik2016 - Regulation of hepatic glucose metabolism	SBML	L2V4	The relative importance of kinetic mechanisms and variable enzyme abundances for the regulation of hepatic glucose metabolism--insights from mathematical modeling.	2016.0
BIOMD0000000634	Proctor2013 - Effect of Aβ immunisation in Alzheimer's disease (stochastic version)	SBML	L2V4	Investigating interventions in Alzheimer's disease with computer simulation models.	2013.0
BIOMD0000000635	Nair2015 - Interaction between neuromodulators via GPCRs - Effect on cAMP/PKA signaling (D1 Neuron)	SBML	L2V4	Sensing Positive versus Negative Reward Signals through Adenylyl Cyclase-Coupled GPCRs in Direct and Indirect Pathway Striatal Medium Spiny Neurons.	2015.0
BIOMD0000000636	Nair2015 - Interaction between neuromodulators via GPCRs - Effect on cAMP/PKA signaling (D2 Neuron)	SBML	L2V4	Sensing Positive versus Negative Reward Signals through Adenylyl Cyclase-Coupled GPCRs in Direct and Indirect Pathway Striatal Medium Spiny Neurons.	2015.0
BIOMD0000000637	Bush2016 - Simplified Carrousel model of GPCR	SBML	L2V4	Yeast GPCR signaling reflects the fraction of occupied receptors, not the number.	2016.0
BIOMD0000000638	Bush2016 - Extended Carrousel model of GPCR-RGS	SBML	L3V1	Yeast GPCR signaling reflects the fraction of occupied receptors, not the number.	2016.0
BIOMD0000000639	Thiaville2016 - Wild type folate pathway model with proposed PanB reaction	SBML	L2V4	Experimental and Metabolic Modeling Evidence for a Folate-Cleaving Side-Activity of Ketopantoate Hydroxymethyltransferase (PanB).	2016.0
BIOMD0000000640	DallePezze2016 - Activation of AMPK and mTOR by amino acids	SBML	L2V4	A systems study reveals concurrent activation of AMPK and mTOR by amino acids.	2016.0
BIOMD0000000641	Jaiswal2017 - Cell cycle arrest	SBML	L3V1	ATM/Wip1 activities at chromatin control Plk1 re-activation to determine G2 checkpoint duration.	2017.0
BIOMD0000000642	Mufudza2012 - Estrogen effect on the dynamics of breast cancer	SBML	L2V4	Assessing the effects of estrogen on the dynamics of breast cancer	2012.0
BIOMD0000000643	Musante2017 - Switching behaviour of PP2A inhibition by ARPP-16 - mutual inhibitions	SBML	L3V1	Reciprocal regulation of ARPP-16 by PKA and MAST-3 kinases provides a cAMP-regulated switch in protein phosphatase 2A inhibition	2017.0
BIOMD0000000644	Musante2017 - Switching behaviour of PP2A inhibition by ARPP-16 - mutual inhibitions and PKA inhibits MAST3	SBML	L3V1	Reciprocal regulation of ARPP-16 by PKA and MAST-3 kinases provides a cAMP-regulated switch in protein phosphatase 2A inhibition	2017.0
BIOMD0000000645	Musante2017 - Switching behaviour of PP2A inhibition by ARPP-16 - mutual inhibitions and PKA inhibits MAST3 and dominant negative effect	SBML	L3V1	Reciprocal regulation of ARPP-16 by PKA and MAST-3 kinases provides a cAMP-regulated switch in protein phosphatase 2A inhibition	2017.0
BIOMD0000000646	Barr2016 - All-or-nothing G1/S transition	SBML	L2V4	A Dynamical Framework for the All-or-None G1/S Transition.	2016.0
BIOMD0000000647	Kwang2003 - The influence of RKIP on the ERK signaling pathway	SBML	L2V4	Mathematical Modeling of the Influence of RKIP on the ERK Signaling Pathway	2019.0
BIOMD0000000648	Padala2017- ERK, PI3K/Akt and Wnt signalling network (normal)	SBML	L2V4	Cancerous perturbations within the ERK, PI3K/Akt, and Wnt/β-catenin signaling network constitutively activate inter-pathway positive feedback loops.	2017.0
BIOMD0000000650	Owen1998 - Tumour  treatment model	SBML	L2V4	Modelling the macrophage invasion of tumours: effects on growth and composition.	1998.0
BIOMD0000000651	Nguyen2016 - Feedback regulation in cell signalling: Lessons for cancer therapeutics	SBML	L2V4	Feedback regulation in cell signalling: Lessons for cancer therapeutics.	2016.0
BIOMD0000000652	Padala2017- ERK, PI3K/Akt and Wnt signalling network (PI3K mutated)	SBML	L2V4	Cancerous perturbations within the ERK, PI3K/Akt, and Wnt/β-catenin signaling network constitutively activate inter-pathway positive feedback loops.	2017.0
BIOMD0000000653	Padala2017- ERK, PI3K/Akt and Wnt signalling network (bRaf mutated)	SBML	L2V4	Cancerous perturbations within the ERK, PI3K/Akt, and Wnt/β-catenin signaling network constitutively activate inter-pathway positive feedback loops.	2017.0
BIOMD0000000654	Padala2017- ERK, PI3K/Akt and Wnt signalling network (Ras mutated)	SBML	L2V4	Cancerous perturbations within the ERK, PI3K/Akt, and Wnt/β-catenin signaling network constitutively activate inter-pathway positive feedback loops.	2017.0
BIOMD0000000655	Padala2017- ERK, PI3K/Akt and Wnt signalling network (PTEN mutation)	SBML	L2V4	Cancerous perturbations within the ERK, PI3K/Akt, and Wnt/β-catenin signaling network constitutively activate inter-pathway positive feedback loops.	2017.0
BIOMD0000000656	Padala2017- ERK, PI3K/Akt and Wnt signalling network (EGFR overexpression)	SBML	L2V4	Cancerous perturbations within the ERK, PI3K/Akt, and Wnt/β-catenin signaling network constitutively activate inter-pathway positive feedback loops.	2017.0
BIOMD0000000657	Araujo2016 - Positive feedback in Cdk1 signalling keeps mitotic duration short and constant	SBML	L2V4	Positive Feedback Keeps Duration of Mitosis Temporally Insulated from Upstream Cell-Cycle Events.	2016.0
BIOMD0000000658	Lee2003 - Roles of APC and Axin in Wnt Pathway (without regulatory loop)	SBML	L2V4	The roles of APC and Axin derived from experimental and theoretical analysis of the Wnt pathway.	2003.0
BIOMD0000000659	Cursons2015 - Regulation of ERK-MAPK signaling in human epidermis	SBML	L2V4	Regulation of ERK-MAPK signaling in human epidermis.	2015.0
BIOMD0000000660	Barr2017 - Dynamics of p21 in hTert-RPE1 cells	SBML	L2V4	DNA damage during S-phase mediates the proliferation-quiescence decision in the subsequent G1 via p21 expression.	2017.0
BIOMD0000000661	Webb2002 - Fas/FasL mediated tumor T-cell interaction	SBML	L2V4	Cells behaving badly: a theoretical model for the Fas/FasL system in tumour immunology.	2002.0
BIOMD0000000662	Moore2004 - Chronic Myeloid Leukemic cells and T-lymphocyte interaction	SBML	L2V4	A mathematical model for chronic myelogenous leukemia (CML) and T cell interaction.	2004.0
BIOMD0000000663	Wodarz2007 - HIV/CD4 T-cell interaction	SBML	L2V4	Infection dynamics in HIV-specific CD4 T cells: does a CD4 T cell boost benefit the host or the virus?	2007.0
BIOMD0000000664	Muller2008 - Simplified MAPK activation Dynamics (Model B)	SBML	L2V4	Network topology determines dynamics of the mammalian MAPK1,2 signaling network: bifan motif regulation of C-Raf and B-Raf isoforms by FGFR and MC1R.	2008.0
BIOMD0000000665	Fallon2000 - Interleukin-2 dynamics	SBML	L2V4	Computational model for effects of ligand/receptor binding properties on interleukin-2 trafficking dynamics and T cell proliferation response.	2000.0
BIOMD0000000666	Pappalardo2016 - PI3K/AKT and MAPK Signaling Pathways in Melanoma Cancer	SBML	L2V4	Computational Modeling of PI3K/AKT and MAPK Signaling Pathways in Melanoma Cancer.	2016.0
BIOMD0000000667	Hornberg2005 - MAPKsignalling	SBML	L2V4	Control of MAPK signalling: from complexity to what really matters.	2005.0
BIOMD0000000668	Zhu2015 - Combined gemcitabine and birinapant in pancreatic cancer cells - basic PD model	SBML	L2V4	Mechanism-based mathematical modeling of combined gemcitabine and birinapant in pancreatic cancer cells.	2015.0
BIOMD0000000669	Zhu2015 - Combined gemcitabine and birinapant in pancreatic cancer cells - mechanistic PD model	SBML	L2V4	Mechanism-based mathematical modeling of combined gemcitabine and birinapant in pancreatic cancer cells.	2015.0
BIOMD0000000670	Owen1998 - tumour growth model	SBML	L2V4	Modelling the macrophage invasion of tumours: effects on growth and composition.	1998.0
BIOMD0000000671	Murphy2016 - Differences in predictions of ODE models of tumor growth	SBML	L2V4	Differences in predictions of ODE models of tumor growth: a cautionary example.	2016.0
BIOMD0000000672	Brown1997 - Plasma Melatonin Levels	SBML	L2V4	A mathematical model of diurnal variations in human plasma melatonin levels.	1997.0
BIOMD0000000673	Lockwood2006 - Alzheimer's Disease PBPK model	SBML	L2V4	Application of clinical trial simulation to compare proof-of-concept study designs for drugs with a slow onset of effect; an example in Alzheimer's disease.	2006.0
BIOMD0000000674	Reyes-Palomares2012 - a combined model hepatic polyamine and sulfur aminoacid metabolism - version1	SBML	L2V4	A combined model of hepatic polyamine and sulfur amino acid metabolism to analyze S-adenosyl methionine availability.	2012.0
BIOMD0000000675	Chen2000_CellCycle	SBML	L2V4	Kinetic analysis of a molecular model of the budding yeast cell cycle.	2000.0
BIOMD0000000676	Chen2006 - Nitric Oxide Release from Endothelial Cells	SBML	L2V4	Theoretical analysis of biochemical pathways of nitric oxide release from vascular endothelial cells.	2006.0
BIOMD0000000677	Holmes2006 - Hill's model of muscle contraction	SBML	L2V4	Teaching from classic papers: Hill's model of muscle contraction.	2006.0
BIOMD0000000678	Tomida2003 - Calcium Oscillatory-induced translocation of nuclear factor of activated T cells	SBML	L2V4	NFAT functions as a working memory of Ca2+ signals in decoding Ca2+ oscillation.	2003.0
BIOMD0000000679	Waugh2006 - Diabetic Wound Healing - Macrophage Dynamics	SBML	L2V4	Macrophage dynamics in diabetic wound dealing.	2006.0
BIOMD0000000680	Waugh2006 - Diabetic Wound Healing - TGF-B Dynamics	SBML	L2V4	Macrophage dynamics in diabetic wound dealing.	2006.0
BIOMD0000000681	Waugh2006 - Diabetic Wound Healing - Treated and Untreated Macrophage Dynamics	SBML	L2V4	Macrophage dynamics in diabetic wound dealing.	2006.0
BIOMD0000000682	Wierschem2004 - Electrical bursting activity in Pancreatic Islets	SBML	L2V4	Complex bursting in pancreatic islets: a potential glycolytic mechanism.	2004.0
BIOMD0000000683	Wodarz1999 CTL memory response HIV	SBML	L2V4	Specific therapy regimes could lead to long-term immunological control of HIV.	1999.0
BIOMD0000000684	Wodarz2003 - Immunological Memory	SBML	L2V4	Evolution of immunological memory and the regulation of competition between pathogens.	2003.0
BIOMD0000000685	Wodarz2003 - Cytotoxic T lymphocyte cross-priming	SBML	L2V4	A dynamical perspective of CTL cross-priming and regulation: implications for cancer immunology.	2003.0
BIOMD0000000686	Wodarz2007 - Basic Model of Cytomegalovirus Infection	SBML	L2V4	Dynamics of killer T cell inflation in viral infections.	2007.0
BIOMD0000000687	Wodarz2007 - Cytomegalovirus infection model with cytotoxic T lymphocyte response	SBML	L2V4	Dynamics of killer T cell inflation in viral infections.	2007.0
BIOMD0000000688	Wodarz2007 - Cytomegalovirus infection model with cytotoxic T lymphocyte and natural killer cell response	SBML	L2V4	Dynamics of killer T cell inflation in viral infections.	2007.0
BIOMD0000000689	Thiaville2016 - Folate pathway model (PanB overexpression)	SBML	L2V4	Experimental and Metabolic Modeling Evidence for a Folate-Cleaving Side-Activity of Ketopantoate Hydroxymethyltransferase (PanB).	2016.0
BIOMD0000000690	Thiaville2016 - Folate pathway model (PanB overexpression and THF regulation)	SBML	L2V4	Experimental and Metabolic Modeling Evidence for a Folate-Cleaving Side-Activity of Ketopantoate Hydroxymethyltransferase (PanB).	2016.0
BIOMD0000000691	Wolf2000 - Cellular interaction on glycolytic oscillations in yeast	SBML	L2V4	Effect of cellular interaction on glycolytic oscillations in yeast: a theoretical investigation.	2000.0
BIOMD0000000692	Phillips2003 - The Mechanism of Ras GTPase Activation by Neurofibromin	SBML	L2V4	The mechanism of Ras GTPase activation by neurofibromin.	2003.0
BIOMD0000000693	Wang2008 - Mimicking the inhibitory effect of riluzole on membrane conductance in skeletal fibres	SBML	L2V4	Riluzole-induced block of voltage-gated Na+ current and activation of BKCa channels in cultured differentiated human skeletal muscle cells.	2008.0
BIOMD0000000695	FelixGarza2017 - Blue Light Treatment of Psoriasis (simplified)	SBML	L2V4	A Dynamic Model for Prediction of Psoriasis Management by Blue Light Irradiation.	2017.0
BIOMD0000000696	Boada2016 - Incoherent type 1 feed-forward loop (I1-FFL)	SBML	L2V4	Multi-objective optimization framework to obtain model-based guidelines for tuning biological synthetic devices: an adaptive network case.	2016.0
BIOMD0000000697	Ciliberto2003 - CyclinE / Cdk2 timer in the cell cycle of Xenopus laevis embryo	SBML	L2V4	A kinetic model of the cyclin E/Cdk2 developmental timer in Xenopus laevis embryos.	2003.0
BIOMD0000000698	Reed2004 - Methionine Cycle	SBML	L2V4	A mathematical model of the methionine cycle.	2004.0
BIOMD0000000699	Caydasi2012 - Regulation of Tem1 by the GAP complex in spindle position cell cycle checkpoint - Ubiquitous association model	SBML	L2V4	A dynamical model of the spindle position checkpoint.	2012.0
BIOMD0000000700	Heldt2018 - Proliferation-quiescence decision in response to DNA damage	SBML	L2V4	A comprehensive model for the proliferation-quiescence decision in response to endogenous DNA damage in human cells.	2018.0
BIOMD0000000701	Caydasi2012 - Inhibition of Tem1 by the GAP complex in Spindle Position Checkpoint	SBML	L2V4	A dynamical model of the spindle position checkpoint.	2012.0
BIOMD0000000702	Caydasi2012 - Regulation of Tem1 by the GAP complex in Spindle Position Checkpoint - Ubiquitous inactive model	SBML	L2V4	A dynamical model of the spindle position checkpoint.	2012.0
BIOMD0000000703	Diedrichs2018 - A data-entrained computational model for testing the regulatory logic of the vertebrate unfolded protein response	SBML	L2V4	A data-entrained computational model for testing the regulatory logic of the vertebrate unfolded protein response.	2018.0
BIOMD0000000704	Aguda1999 - G2 DNA damage checkpoint	SBML	L2V4	A quantitative analysis of the kinetics of the G(2) DNA damage checkpoint system.	1999.0
BIOMD0000000705	Smith2010 - Response of FOXO Transcription Factors to Post-Translational Modifications Made by Ageing-Related Signalling Pathways	SBML	L2V4	Modelling the response of FOXO transcription factors to multiple post-translational modifications made by ageing-related signalling pathways.	2010.0
BIOMD0000000706	Smith2010 - Response of FOXO Transcription Factors to Post-Translational Modifications (with acetylation pathway)	SBML	L2V4	Modelling the response of FOXO transcription factors to multiple post-translational modifications made by ageing-related signalling pathways.	2010.0
BIOMD0000000707	Revilla2003 - Controlling HIV infection using recombinant viruses	SBML	L2V4	Fighting a virus with a virus: a dynamic model for HIV-1 therapy.	2003.0
BIOMD0000000708	Liu2017 - Dynamics of Avian Influenza with Logistic Growth	SBML	L2V4	Nonlinear dynamics of avian influenza epidemic models.	2017.0
BIOMD0000000709	Liu2017 - Dynamics of Avian Influenza with Allee Growth Effect	SBML	L2V4	Nonlinear dynamics of avian influenza epidemic models.	2017.0
BIOMD0000000710	Hernandez-Vargas2012 - Innate immune system dynamics to Influenza virus	SBML	L2V4	Innate Immune System Dynamics to Influenza Virus	2012.0
BIOMD0000000711	Hancioglu2007 - Human Immune Response to Influenza A virus Infection	SBML	L2V4	A dynamical model of human immune response to influenza A virus infection.	2007.0
BIOMD0000000712	Manchanda2014 - Effect on Immune System by 4 different Influenza A virus strains	SBML	L2V4	Within-host influenza dynamics: a small-scale mathematical modeling approach.	2014.0
BIOMD0000000713	Aston2018 - Dynamics of Hepatitis C Infection	SBML	L2V4	A New Model for the Dynamics of Hepatitis C Infection: Derivation, Analysis and Implications.	2018.0
BIOMD0000000714	Reynolds2006 - Reduced model of the acute inflammatory response	SBML	L2V4	A reduced mathematical model of the acute inflammatory response: I. Derivation of model and analysis of anti-inflammation.	2006.0
BIOMD0000000715	Huo2017 - SEIS epidemic model with the impact of media	SBML	L2V4	Stability and bifurcation for an SEIS epidemic model with the impact of media	2017.0
BIOMD0000000716	Lee2018 - Avian human bilinear incidence (BI) model	SBML	L2V4	Transmission dynamics and control strategies assessment of avian influenza A (H5N6) in the Philippines	2018.0
BIOMD0000000717	Lee2018 - Avian human half-saturated incidence (HSI) model	SBML	L2V4	Transmission dynamics and control strategies assessment of avian influenza A (H5N6) in the Philippines	2018.0
BIOMD0000000718	Li2008 - Caulobacter Cell Cycle	SBML	L2V4	A quantitative study of the division cycle of Caulobacter crescentus stalked cells.	2008.0
BIOMD0000000719	Tsai2014 - Cell cycle duration control by oscillatory Dynamics  in Early Xenopus laevis Embryos	SBML	L2V4	Changes in oscillatory dynamics in the cell cycle of early Xenopus laevis embryos.	2014.0
BIOMD0000000720	Yan2012 - Rb-E2F pathway dynamics with miR449	SBML	L2V4	Dynamical behaviors of Rb-E2F pathway including negative feedback loops involving miR449.	2012.0
BIOMD0000000721	Graham2013 - Role of osteocytes in targeted bone remodeling	SBML	L2V4	The role of osteocytes in targeted bone remodeling: a mathematical model.	2013.0
BIOMD0000000722	Bianchi2015 -Model for lymphangiogenesis in normal and diabetic wounds	SBML	L2V4	A mathematical model for lymphangiogenesis in normal and diabetic wounds.	2015.0
BIOMD0000000723	Weis2014 - Data driven Mammalian Cell Cycle Model	SBML	L2V4	A data-driven, mathematical model of mammalian cell cycle regulation.	2014.0
BIOMD0000000724	Theinmozhi2018 - Mechanism of PD1 inhibiting TCR signaling in Tumor immune regulation	SBML	L2V4	Mathematical modeling identifies Lck as a potential mediator for PD-1 induced inhibition of early TCR signaling.	2018.0
BIOMD0000000725	Salcedo-Sora2016 - Microbial folate biosynthesis and utilisation	SBML	L2V4	A mathematical model of microbial folate biosynthesis and utilisation: implications for antifolate development.	2016.0
BIOMD0000000726	Ruan2017 - Transmission dynamics and control of rabies in China	SBML	L2V4	Modeling the transmission dynamics and control of rabies in China.	2017.0
BIOMD0000000727	Li2009- Assymetric Caulobacter cell cycle	SBML	L2V4	Temporal controls of the asymmetric cell division cycle in Caulobacter crescentus.	2009.0
BIOMD0000000728	Norel1990 - MPF and Cyclin Oscillations	SBML	L2V4	A model for the adjustment of the mitotic clock by cyclin and MPF levels.	1991.0
BIOMD0000000729	Goldbeter1996 - Cyclin Cdc2 kinase Oscillations	SBML	L2V4	Arresting the mitotic oscillator and the control of cell proliferation: insights from a cascade model for cdc2 kinase activation.	1996.0
BIOMD0000000730	Gerard2009 - An Integrated Mammalian Cell Cycle Model	SBML	L2V4	Temporal self-organization of the cyclin/Cdk network driving the mammalian cell cycle.	2009.0
BIOMD0000000731	Robertson-Tessi M 2012 A model of tumor Immune interaction	SBML	L2V4	A mathematical model of tumor-immune interactions.	2012.0
BIOMD0000000732	Kirschner1998_Immunotherapy_Tumour	SBML	L2V4	Modeling immunotherapy of the tumor-immune interaction.	1998.0
BIOMD0000000733	Moore_2004_Mathematical model for CML and T cell interaction	SBML	L2V4	A mathematical model for chronic myelogenous leukemia (CML) and T cell interaction.	2004.0
